"GROUP","days_since_admission","value","concept","variable","periode_group","siteid"
"ARDS_18_49",0,14,"patient","number","all","FRBDX"
"ARDS_18_49",1,14,"patient","number","all","FRBDX"
"ARDS_18_49",2,14,"patient","number","all","FRBDX"
"ARDS_18_49",3,14,"patient","number","all","FRBDX"
"ARDS_18_49",4,14,"patient","number","all","FRBDX"
"ARDS_18_49",5,14,"patient","number","all","FRBDX"
"ARDS_18_49",6,13,"patient","number","all","FRBDX"
"ARDS_18_49",7,12,"patient","number","all","FRBDX"
"ARDS_18_49",8,12,"patient","number","all","FRBDX"
"ARDS_18_49",9,12,"patient","number","all","FRBDX"
"ARDS_18_49",10,12,"patient","number","all","FRBDX"
"ARDS_18_49",11,12,"patient","number","all","FRBDX"
"ARDS_18_49",12,12,"patient","number","all","FRBDX"
"ARDS_18_49",13,12,"patient","number","all","FRBDX"
"ARDS_18_49",14,11,"patient","number","all","FRBDX"
"ARDS_18_49",15,11,"patient","number","all","FRBDX"
"ARDS_18_49",16,11,"patient","number","all","FRBDX"
"ARDS_18_49",17,11,"patient","number","all","FRBDX"
"ARDS_18_49",18,11,"patient","number","all","FRBDX"
"ARDS_18_49",19,11,"patient","number","all","FRBDX"
"ARDS_18_49",20,11,"patient","number","all","FRBDX"
"ARDS_18_49",21,11,"patient","number","all","FRBDX"
"ARDS_18_49",22,11,"patient","number","all","FRBDX"
"ARDS_18_49",23,11,"patient","number","all","FRBDX"
"ARDS_18_49",24,11,"patient","number","all","FRBDX"
"ARDS_18_49",25,10,"patient","number","all","FRBDX"
"ARDS_18_49",26,10,"patient","number","all","FRBDX"
"ARDS_18_49",27,9,"patient","number","all","FRBDX"
"ARDS_18_49",28,9,"patient","number","all","FRBDX"
"ARDS_18_49",29,9,"patient","number","all","FRBDX"
"ARDS_18_49",30,9,"patient","number","all","FRBDX"
"ARDS_18_49",31,9,"patient","number","all","FRBDX"
"ARDS_18_49",32,9,"patient","number","all","FRBDX"
"ARDS_18_49",33,7,"patient","number","all","FRBDX"
"ARDS_18_49",34,7,"patient","number","all","FRBDX"
"ARDS_18_49",35,7,"patient","number","all","FRBDX"
"ARDS_18_49",36,7,"patient","number","all","FRBDX"
"ARDS_18_49",37,7,"patient","number","all","FRBDX"
"ARDS_18_49",38,7,"patient","number","all","FRBDX"
"ARDS_18_49",39,7,"patient","number","all","FRBDX"
"ARDS_18_49",40,7,"patient","number","all","FRBDX"
"ARDS_18_49",41,7,"patient","number","all","FRBDX"
"ARDS_18_49",42,6,"patient","number","all","FRBDX"
"ARDS_18_49",43,6,"patient","number","all","FRBDX"
