"GROUP","value","concept","variable","periode_group","siteid"
"ARDS_18_49",14,"patient","number","all","FRBDX"
"ARDS_sup_49",123,"patient","number","all","FRBDX"
"NO_ARDS_18_49",119,"patient","number","all","FRBDX"
"NO_ARDS_sup_49",439,"patient","number","all","FRBDX"
"OTHERS_18_49",4,"patient","number","all","FRBDX"
"OTHERS_sup_49",54,"patient","number","all","FRBDX"
"ARDS_18_49",3,"patient","number","Aug_Dec","FRBDX"
"ARDS_18_49",11,"patient","number","Jan_Jul","FRBDX"
"ARDS_sup_49",46,"patient","number","Aug_Dec","FRBDX"
"ARDS_sup_49",77,"patient","number","Jan_Jul","FRBDX"
"NO_ARDS_18_49",87,"patient","number","Aug_Dec","FRBDX"
"NO_ARDS_18_49",32,"patient","number","Jan_Jul","FRBDX"
"NO_ARDS_sup_49",264,"patient","number","Aug_Dec","FRBDX"
"NO_ARDS_sup_49",175,"patient","number","Jan_Jul","FRBDX"
"OTHERS_18_49",3,"patient","number","Aug_Dec","FRBDX"
"OTHERS_18_49",-99,"patient","number","Jan_Jul","FRBDX"
"OTHERS_sup_49",32,"patient","number","Aug_Dec","FRBDX"
"OTHERS_sup_49",22,"patient","number","Jan_Jul","FRBDX"
"ARDS_18_49",45.7142857142857,"DIAG-ICD10","mean_freq","all","FRBDX"
"ARDS_18_49",20.5517304958397,"DIAG-ICD10","std_freq","all","FRBDX"
"ARDS_18_49",218.214285714286,"LOINC","mean_freq","all","FRBDX"
"ARDS_18_49",139.254707735048,"LOINC","std_freq","all","FRBDX"
"ARDS_18_49",40,"MED-CLASS","mean_freq","all","FRBDX"
"ARDS_18_49",55.2883351169123,"MED-CLASS","std_freq","all","FRBDX"
"ARDS_18_49",20.1818181818182,"PROC-ICD10","mean_freq","all","FRBDX"
"ARDS_18_49",14.5039179659717,"PROC-ICD10","std_freq","all","FRBDX"
"ARDS_sup_49",37.650406504065,"DIAG-ICD10","mean_freq","all","FRBDX"
"ARDS_sup_49",27.2925810311446,"DIAG-ICD10","std_freq","all","FRBDX"
"ARDS_sup_49",179.154471544715,"LOINC","mean_freq","all","FRBDX"
"ARDS_sup_49",192.427121930438,"LOINC","std_freq","all","FRBDX"
"ARDS_sup_49",28.9325842696629,"MED-CLASS","mean_freq","all","FRBDX"
"ARDS_sup_49",53.5509098795481,"MED-CLASS","std_freq","all","FRBDX"
