"GROUP","days_since_admission","concept_code","npat","mean_value","std_value","mean_log_value","std_log_value","periode_group","siteid"
"ARDS_18_49",-2,"1742-6",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"1920-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"1975-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"1988-5",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2019-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2160-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2276-4",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"2703-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"3255-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"48065-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"5902-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"6690-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-2,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"1742-6",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"1920-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"1975-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"2160-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"3255-7",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"49563-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"5902-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"6690-2",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"731-0",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",-1,"751-8",-99,-99,-99,-99,-99,"all","FRBDX"
"ARDS_18_49",0,"1742-6",12,41.7083333333333,31.2355117929849,3.53279227652274,0.678228991596548,"all","FRBDX"
"ARDS_18_49",0,"1751-7",6,2.29833333333333,0.823903311479367,0.997798488280965,0.264315129412067,"all","FRBDX"
"ARDS_18_49",0,"1920-8",12,50.9166666666667,22.5648895947718,3.8575599576733,0.419088047918503,"all","FRBDX"
"ARDS_18_49",0,"1975-2",12,0.638401557666667,0.363889784068062,0.0846421221777993,0.311240821234752,"all","FRBDX"
"ARDS_18_49",0,"1988-5",10,141.626666666667,105.862823887716,4.63681625672137,0.938912332847355,"all","FRBDX"
"ARDS_18_49",0,"2019-8",14,40.8109627130952,10.5531184737298,3.69439841681484,0.23364776486481,"all","FRBDX"
"ARDS_18_49",0,"2160-0",14,1.714070214,1.94850401139183,0.592622978417053,0.565357844863017,"all","FRBDX"
"ARDS_18_49",0,"2276-4",9,1013.96888888889,614.896811901079,6.5937664554236,1.1308427956041,"all","FRBDX"
"ARDS_18_49",0,"2532-0",6,501.166666666667,178.125143274796,6.16001995403759,0.382802395680347,"all","FRBDX"
"ARDS_18_49",0,"2703-7",14,99.3961624988095,33.111402718466,4.55771329850638,0.310134900808853,"all","FRBDX"
"ARDS_18_49",0,"3255-7",9,856.111111111111,139.099285084831,6.74078891176832,0.167296294032511,"all","FRBDX"
"ARDS_18_49",0,"33959-8",7,0.837857142857143,0.689866274136137,0.166897283867365,0.552289281059993,"all","FRBDX"
"ARDS_18_49",0,"48065-7",9,2324.55555555556,2299.35097424855,7.19326448366027,1.21598657707375,"all","FRBDX"
