"variable","GROUP","concept","value","periode_group","time","siteid"
"A02","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A04","ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"A04","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A04","NO_ARDS_sup_49","DIAG-ICD10",5,"all","all","FRBDX"
"A04","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A08","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A08","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A09","ARDS_18_49","DIAG-ICD10",5,"all","all","FRBDX"
"A09","ARDS_sup_49","DIAG-ICD10",38,"all","all","FRBDX"
"A09","NO_ARDS_18_49","DIAG-ICD10",17,"all","all","FRBDX"
"A09","NO_ARDS_sup_49","DIAG-ICD10",146,"all","all","FRBDX"
"A09","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A09","OTHERS_sup_49","DIAG-ICD10",21,"all","all","FRBDX"
"A15","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A15","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A16","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A18","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"A31","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A40","ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"A40","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A40","NO_ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"A40","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A41","ARDS_18_49","DIAG-ICD10",3,"all","all","FRBDX"
"A41","ARDS_sup_49","DIAG-ICD10",31,"all","all","FRBDX"
"A41","NO_ARDS_18_49","DIAG-ICD10",3,"all","all","FRBDX"
"A41","NO_ARDS_sup_49","DIAG-ICD10",29,"all","all","FRBDX"
"A41","OTHERS_sup_49","DIAG-ICD10",7,"all","all","FRBDX"
"A43","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A46","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A46","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A46","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A49","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A49","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A52","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A53","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A55","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A56","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A60","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A66","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A69","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A78","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A87","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"A97","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B00","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B00","ARDS_sup_49","DIAG-ICD10",10,"all","all","FRBDX"
"B00","NO_ARDS_sup_49","DIAG-ICD10",5,"all","all","FRBDX"
"B00","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B02","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B02","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B02","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"B09","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B16","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B18","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B18","NO_ARDS_18_49","DIAG-ICD10",4,"all","all","FRBDX"
"B18","NO_ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"B18","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"B20","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
